YEAR,PLAYERID,NAMElast,NAMEfirst,TEAM,LG,AVG,OBP,SLG,EXP,PAYR,MLAVG,MLOBP,MLSLG,AVGcumLag1,OBPcumLag1,SLGcumLag1,G,YRINDEX
2003,santibe01,Santiago,Benito,SFN,NL,0.279,0.329,0.424,18,393,0.269,0.339,0.432,0.262,0.305,0.414,108,45
1994,willibe02,Williams,Bernie,NYA,AL,0.289,0.384,0.453,4,574,0.275,0.345,0.434,0.262,0.339,0.388,108,36
1981,armasto01,Armas,Tony,OAK,AL,0.261,0.294,0.48,5,422,0.26,0.325,0.377,0.254,0.288,0.42,109,23
1981,burleri01,Burleson,Rick,CAL,AL,0.293,0.357,0.372,8,433,0.26,0.325,0.377,0.274,0.326,0.362,109,23
1986,duncama01,Duncan,Mariano,LAN,NL,0.229,0.284,0.305,2,412,0.262,0.331,0.404,0.244,0.293,0.34,109,28
1994,fieldce01,Fielder,Cecil,DET,AL,0.259,0.337,0.504,9,457,0.275,0.345,0.434,0.259,0.346,0.5,109,36
1999,goodwto01,Goodwin,Tom,TEX,AL,0.259,0.324,0.341,8,326,0.277,0.351,0.445,0.277,0.34,0.337,109,41
1994,knoblch01,Knoblauch,Chuck,MIN,AL,0.312,0.381,0.461,4,614,0.275,0.345,0.434,0.285,0.364,0.351,109,36
1994,lankfra01,Lankford,Ray,SLN,NL,0.267,0.359,0.488,5,476,0.275,0.345,0.434,0.265,0.346,0.417,109,36
1977,lezcasi01,Lezcano,Sixto,ML4,AL,0.273,0.358,0.503,4,398,0.268,0.334,0.409,0.266,0.334,0.383,109,19
1993,martiti02,Martinez,Tino,SEA,AL,0.265,0.343,0.456,4,512,0.27,0.338,0.413,0.244,0.308,0.383,109,35
1975,moneydo01,Money,Don,ML4,AL,0.277,0.331,0.432,7,461,0.262,0.333,0.383,0.258,0.32,0.386,109,17
1988,raineti01,Raines,Tim,MON,NL,0.27,0.35,0.431,8,491,0.259,0.324,0.387,0.308,0.395,0.446,109,30
1994,spraged02,Sprague,Ed,TOR,AL,0.24,0.296,0.373,4,416,0.275,0.345,0.434,0.262,0.319,0.385,109,36
1994,venturo01,Ventura,Robin,CHA,AL,0.282,0.373,0.459,5,549,0.275,0.345,0.434,0.269,0.362,0.407,109,36
1972,aparilu01,Aparicio,Luis,BOS,AL,0.257,0.299,0.351,14,618,0.253,0.321,0.37,0.261,0.31,0.345,110,14
1994,bagweje01,Bagwell,Jeff,HOU,NL,0.368,0.451,0.75,4,665,0.275,0.345,0.434,0.295,0.38,0.464,110,36
1994,bellja01,Bell,Jay,PIT,NL,0.276,0.353,0.441,8,492,0.275,0.345,0.434,0.267,0.335,0.389,110,36
1979,carewro01,Carew,Rod,CAL,AL,0.318,0.419,0.391,13,549,0.27,0.335,0.406,0.334,0.393,0.448,110,21
1994,cordewi01,Cordero,Wil,MON,NL,0.294,0.363,0.489,3,359,0.275,0.345,0.434,0.26,0.317,0.389,110,36
2001,cruzde01,Cruz,Deivi,DET,AL,0.256,0.291,0.379,5,505,0.269,0.338,0.437,0.274,0.294,0.392,110,43
2003,durhara01,Durham,Ray,SFN,NL,0.285,0.366,0.441,9,630,0.269,0.339,0.432,0.278,0.352,0.43,110,45
1981,garvest01,Garvey,Steve,LAN,NL,0.283,0.322,0.411,12,524,0.26,0.325,0.377,0.304,0.342,0.468,110,23
1994,grissma02,Grissom,Marquis,MON,NL,0.288,0.344,0.427,6,549,0.275,0.345,0.434,0.277,0.329,0.4,110,36
1994,gwynnto01,Gwynn,Tony,SDN,NL,0.394,0.454,0.568,13,509,0.275,0.345,0.434,0.329,0.382,0.438,110,36
1980,lynnfr01,Lynn,Fred,BOS,AL,0.301,0.383,0.48,6,494,0.269,0.332,0.396,0.309,0.383,0.526,110,22
1998,nixonot01,Nixon,Otis,MIN,AL,0.297,0.361,0.344,15,358,0.271,0.341,0.43,0.269,0.343,0.314,110,40
1988,randowi01,Randolph,Willie,NYA,AL,0.23,0.322,0.3,14,520,0.259,0.324,0.387,0.277,0.376,0.359,110,30
1994,sierrru01,Sierra,Ruben,OAK,AL,0.268,0.298,0.484,9,476,0.275,0.345,0.434,0.274,0.32,0.459,110,36
1981,smithoz01,Smith,Ozzie,SDN,NL,0.222,0.294,0.256,4,556,0.26,0.325,0.377,0.233,0.296,0.283,110,23
2004,vidrojo01,Vidro,Jose,MON,NL,0.294,0.367,0.454,8,484,0.272,0.342,0.439,0.306,0.367,0.473,110,46
1989,washicl01,Washington,Claudell,CAL,AL,0.273,0.319,0.428,16,432,0.259,0.325,0.384,0.28,0.328,0.423,110,31
1994,weisswa01,Weiss,Walt,COL,NL,0.251,0.336,0.303,7,417,0.275,0.345,0.434,0.25,0.329,0.307,110,36
1994,anderbr01,Anderson,Brady,BAL,AL,0.263,0.356,0.419,7,511,0.275,0.345,0.434,0.244,0.343,0.375,111,36
1994,butlebr01,Butler,Brett,LAN,NL,0.314,0.411,0.446,14,553,0.275,0.345,0.434,0.289,0.377,0.376,111,36
1994,caminke01,Caminiti,Ken,HOU,NL,0.283,0.352,0.495,8,474,0.275,0.345,0.434,0.257,0.315,0.371,111,36
1994,cartejo01,Carter,Joe,TOR,AL,0.271,0.317,0.524,12,572,0.275,0.345,0.434,0.262,0.309,0.469,111,36
1994,griffke02,Griffey Jr.,Ken,SEA,AL,0.323,0.402,0.674,6,532,0.275,0.345,0.434,0.303,0.375,0.52,111,36
1999,gwynnto01,Gwynn,Tony,SDN,NL,0.338,0.381,0.477,18,509,0.277,0.351,0.445,0.339,0.389,0.458,111,41
1968,harrebu01,Harrelson,Bud,NYN,NL,0.219,0.273,0.251,3,361,0.246,0.31,0.356,0.241,0.308,0.3,111,10
1963,hillech01,Hiller,Chuck,SFN,NL,0.223,0.261,0.3,3,289,0.255,0.319,0.389,0.265,0.337,0.33,111,5
1990,jacksbo01,Jackson,Bo,KCA,AL,0.272,0.342,0.523,5,328,0.263,0.33,0.394,0.244,0.298,0.467,111,32
1997,johnsla03,Johnson,Lance,NYN->CHN,NL->NL,0.307,0.37,0.422,11,412,0.272,0.342,0.428,0.293,0.33,0.389,111,39
1994,karroer01,Karros,Eric,LAN,NL,0.266,0.31,0.426,3,546,0.275,0.345,0.434,0.25,0.293,0.413,111,36
1980,molitpa01,Molitor,Paul,ML4,AL,0.304,0.372,0.438,3,575,0.269,0.332,0.396,0.299,0.339,0.424,111,22
1994,palmera01,Palmeiro,Rafael,BAL,AL,0.319,0.392,0.55,9,611,0.275,0.345,0.434,0.296,0.36,0.472,111,36
1997,alomaro01,Alomar,Roberto,BAL,AL,0.333,0.39,0.5,10,603,0.272,0.342,0.428,0.302,0.371,0.435,112,39
2004,anderga01,Anderson,Garret,ANA,AL,0.301,0.343,0.446,10,623,0.272,0.342,0.439,0.299,0.328,0.479,112,46
1995,bellde01,Bell,Derek,HOU,NL,0.334,0.385,0.442,4,506,0.272,0.344,0.427,0.275,0.325,0.415,112,37
2002,counscr01,Counsell,Craig,ARI,NL,0.282,0.348,0.351,6,356,0.266,0.337,0.426,0.269,0.354,0.362,112,44
1994,francju01,Franco,Julio,CHA,AL,0.319,0.406,0.51,12,482,0.275,0.345,0.434,0.3,0.36,0.412,112,36
1980,lezcasi01,Lezcano,Sixto,ML4,AL,0.229,0.298,0.421,7,398,0.269,0.332,0.396,0.283,0.364,0.457,112,22
1994,loftoke01,Lofton,Kenny,CLE,AL,0.349,0.412,0.536,4,549,0.275,0.345,0.434,0.299,0.377,0.376,112,36
1995,piazzmi01,Piazza,Mike,LAN,NL,0.346,0.4,0.606,4,503,0.272,0.344,0.427,0.312,0.364,0.537,112,37
1994,ripkeca01,Ripken Jr.,Cal,BAL,AL,0.315,0.364,0.459,13,644,0.275,0.345,0.434,0.275,0.345,0.455,112,36
1999,rolensc01,Rolen,Scott,PHI,NL,0.268,0.368,0.525,4,569,0.277,0.351,0.445,0.283,0.378,0.491,112,41
1994,willima04,Williams,Matt,SFN,NL,0.267,0.319,0.607,8,446,0.275,0.345,0.434,0.251,0.295,0.467,112,36
1971,ageeto01,Agee,Tommie,NYN,NL,0.285,0.362,0.428,8,430,0.259,0.328,0.382,0.258,0.317,0.417,113,13
1999,cansejo01,Canseco,Jose,TBA,AL,0.279,0.369,0.563,15,478,0.277,0.351,0.445,0.266,0.35,0.517,113,41
1990,davisch01,Davis,Chili,CAL,AL,0.265,0.357,0.398,9,554,0.263,0.33,0.394,0.268,0.338,0.425,113,32
1983,downibr01,Downing,Brian,CAL,AL,0.246,0.352,0.429,11,462,0.266,0.33,0.398,0.267,0.365,0.395,113,25
1978,foliti01,Foli,Tim,NYN,NL,0.257,0.283,0.32,8,427,0.262,0.329,0.387,0.242,0.278,0.304,113,20
1992,gladdda01,Gladden,Dan,DET,AL,0.254,0.304,0.357,10,447,0.261,0.328,0.386,0.272,0.328,0.38,113,34
1991,grubeke01,Gruber,Kelly,TOR,AL,0.252,0.308,0.443,6,428,0.26,0.329,0.394,0.266,0.313,0.445,113,33
1994,hayesch01,Hayes,Charlie,COL,NL,0.288,0.348,0.433,6,443,0.275,0.345,0.434,0.263,0.3,0.409,113,36
2002,huffau01,Huff,Aubrey,TBA,AL,0.313,0.364,0.52,3,486,0.266,0.337,0.426,0.257,0.295,0.388,113,44
1973,huntro01,Hunt,Ron,MON,NL,0.309,0.418,0.344,11,505,0.262,0.331,0.387,0.271,0.363,0.352,113,15
1961,javieju01,Javier,Julian,SLN,NL,0.279,0.326,0.337,2,468,0.268,0.34,0.418,0.237,0.273,0.341,113,3
1965,killeha01,Killebrew,Harmon,MIN,AL,0.269,0.384,0.501,7,562,0.255,0.322,0.389,0.263,0.371,0.551,113,7
1997,martial03,Martin,Al,PIT,NL,0.291,0.359,0.473,5,468,0.272,0.342,0.428,0.288,0.35,0.457,113,39
1965,mcauldi01,McAuliffe,Dick,DET,AL,0.26,0.342,0.433,5,475,0.255,0.322,0.389,0.255,0.336,0.401,113,7
1965,mccarti01,McCarver,Tim,SLN,NL,0.276,0.327,0.408,4,325,0.255,0.322,0.389,0.281,0.328,0.382,113,7
1994,mcgrifr01,McGriff,Fred,ATL,NL,0.318,0.389,0.623,8,565,0.275,0.345,0.434,0.281,0.389,0.531,113,36
1995,murraed02,Murray,Eddie,CLE,AL,0.323,0.375,0.516,19,610,0.272,0.344,0.427,0.288,0.362,0.48,113,37
1973,thomade01,Thomas,Derrel,SDN,NL,0.238,0.299,0.26,2,371,0.262,0.331,0.387,0.228,0.288,0.307,113,15
1999,valenjo02,Valentin,John,BOS,AL,0.253,0.315,0.398,8,407,0.277,0.351,0.445,0.287,0.369,0.472,113,41
1994,wallati01,Wallach,Tim,LAN,NL,0.28,0.356,0.502,14,556,0.275,0.345,0.434,0.257,0.314,0.413,113,36
1994,zeileto01,Zeile,Todd,SLN,NL,0.267,0.348,0.47,6,540,0.275,0.345,0.434,0.265,0.347,0.402,113,36
1995,zeileto01,Zeile,Todd,SLN->CHN,NL->NL,0.246,0.305,0.397,7,540,0.272,0.344,0.427,0.266,0.347,0.413,113,37
1972,ageeto01,Agee,Tommie,NYN,NL,0.227,0.317,0.374,9,430,0.253,0.321,0.37,0.262,0.323,0.418,114,14
1995,bagweje01,Bagwell,Jeff,HOU,NL,0.29,0.399,0.496,5,665,0.272,0.344,0.427,0.309,0.394,0.52,114,37
1994,biggicr01,Biggio,Craig,HOU,NL,0.318,0.411,0.483,7,624,0.275,0.345,0.434,0.276,0.355,0.392,114,36
1994,curtich01,Curtis,Chad,CAL,AL,0.256,0.317,0.397,3,462,0.275,0.345,0.434,0.273,0.352,0.37,114,36
1996,edmonji01,Edmonds,Jim,CAL,AL,0.304,0.375,0.571,4,493,0.276,0.347,0.438,0.282,0.344,0.472,114,38
1994,frymatr01,Fryman,Travis,DET,AL,0.263,0.326,0.474,5,554,0.275,0.345,0.434,0.277,0.337,0.451,114,36
1976,hortowi01,Horton,Willie,DET,AL,0.262,0.342,0.409,13,473,0.26,0.325,0.369,0.277,0.336,0.477,114,18
2002,lawtoma02,Lawton,Matt,CLE,AL,0.236,0.342,0.399,8,495,0.266,0.337,0.426,0.275,0.378,0.424,114,44
1994,lewisda01,Lewis,Darren,SFN,NL,0.257,0.34,0.357,4,379,0.275,0.345,0.434,0.245,0.314,0.303,114,36
1994,mcraebr01,McRae,Brian,KCA,AL,0.273,0.359,0.378,5,569,0.275,0.345,0.434,0.26,0.302,0.37,114,36
1994,phillto02,Phillips,Tony,DET,AL,0.281,0.409,0.468,13,502,0.275,0.345,0.434,0.265,0.364,0.37,114,36
1998,spiezsc01,Spiezio,Scott,OAK,AL,0.259,0.333,0.377,2,470,0.271,0.341,0.43,0.247,0.305,0.399,114,40
1978,steinbi02,Stein,Bill,SEA,AL,0.261,0.318,0.37,6,234,0.262,0.329,0.387,0.264,0.311,0.367,114,20
1969,alouje01,Alou,Jesus,HOU,NL,0.248,0.276,0.341,6,324,0.258,0.332,0.387,0.279,0.301,0.348,115,11
1987,brettge01,Brett,George,KCA,AL,0.29,0.388,0.496,14,580,0.268,0.337,0.425,0.314,0.377,0.505,115,29
1995,colemvi01,Coleman,Vince,KCA->SEA,AL->AL,0.288,0.343,0.398,11,456,0.272,0.344,0.427,0.264,0.324,0.342,115,37
1994,coninje01,Conine,Jeff,FLO,NL,0.319,0.373,0.525,3,505,0.275,0.345,0.434,0.286,0.345,0.395,115,36
1999,fletcda01,Fletcher,Darrin,TOR,AL,0.291,0.339,0.485,9,355,0.277,0.351,0.445,0.266,0.319,0.413,115,41
2000,gonzaju03,Gonzalez,Juan,DET,AL,0.289,0.337,0.505,12,447,0.276,0.351,0.448,0.294,0.343,0.572,115,42
1991,guerrpe01,Guerrero,Pedro,SLN,NL,0.272,0.326,0.361,13,436,0.26,0.329,0.394,0.305,0.377,0.496,115,33
1972,harrebu01,Harrelson,Bud,NYN,NL,0.215,0.313,0.266,7,361,0.253,0.321,0.37,0.241,0.32,0.296,115,14
1970,hortoto01,Horton,Tony,CLE,AL,0.269,0.321,0.453,7,342,0.264,0.337,0.404,0.268,0.311,0.424,115,12
1991,jamesch02,James,Chris,CLE,AL,0.238,0.273,0.318,5,364,0.26,0.329,0.394,0.268,0.309,0.423,115,33
1994,molitpa01,Molitor,Paul,TOR,AL,0.341,0.41,0.518,17,575,0.275,0.345,0.434,0.306,0.37,0.449,115,36
1971,pepitjo01,Pepitone,Joe,CHN,NL,0.307,0.347,0.482,10,455,0.259,0.328,0.382,0.252,0.295,0.43,115,13
1975,petrori01,Petrocelli,Rico,BOS,AL,0.239,0.31,0.333,11,511,0.262,0.333,0.383,0.254,0.336,0.434,115,17
1974,pinsova01,Pinson,Vada,KCA,AL,0.276,0.312,0.374,16,603,0.261,0.329,0.377,0.289,0.33,0.45,115,16
1993,raineti01,Raines,Tim,CHA,AL,0.306,0.401,0.48,13,491,0.27,0.338,0.413,0.297,0.386,0.426,115,35
1971,rojasco01,Rojas,Cookie,KCA,AL,0.3,0.357,0.406,10,424,0.259,0.328,0.382,0.258,0.298,0.328,115,13
1996,seguida01,Segui,David,MON,NL,0.286,0.375,0.442,7,362,0.276,0.347,0.438,0.271,0.335,0.391,115,38
1973,smithre06,Smith,Reggie,BOS,AL,0.303,0.398,0.515,7,503,0.262,0.331,0.387,0.279,0.349,0.466,115,15
1968,torrejo01,Torre,Joe,ATL,NL,0.271,0.332,0.377,8,517,0.246,0.31,0.356,0.297,0.359,0.473,115,10
1988,whitalo01,Whitaker,Lou,DET,AL,0.275,0.376,0.419,11,549,0.259,0.324,0.387,0.279,0.355,0.406,115,30
1988,wilsogl01,Wilson,Glenn,SEA->PIT,AL->NL,0.256,0.286,0.341,7,446,0.259,0.324,0.387,0.269,0.308,0.408,115,30
1974,bellbu01,Bell,Buddy,CLE,AL,0.262,0.322,0.352,3,553,0.261,0.329,0.377,0.263,0.319,0.38,116,16
1994,bicheda01,Bichette,Dante,COL,NL,0.304,0.334,0.548,6,527,0.275,0.345,0.434,0.27,0.303,0.434,116,36
1986,brownch02,Brown,Chris,SFN,NL,0.317,0.376,0.421,3,281,0.262,0.331,0.404,0.273,0.347,0.436,116,28
1973,cashda01,Cash,Dave,PIT,NL,0.271,0.328,0.342,5,502,0.262,0.331,0.387,0.29,0.342,0.373,116,15
2002,coninje01,Conine,Jeff,BAL,AL,0.273,0.307,0.448,11,505,0.266,0.337,0.426,0.289,0.354,0.453,116,44
1975,davisto02,Davis,Tommy,BAL,AL,0.283,0.315,0.357,16,453,0.262,0.333,0.383,0.295,0.331,0.411,116,17
